PG,SG,SF,PF,C,G,F,UTIL,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Geomean Ownership,Simulated ROI
36883378,36883402,36883520,36883418,36883359,36883515,36883537,36883376,267.61,248.2867,269.2867,290.2867,301.2867,320.5367,341.5517,296.64,34.7135679,0.493105873
36883378,36883402,36883506,36883412,36883359,36883520,36883418,36883368,268.81,251.0585,271.1835,290.5585,301.5585,319.321,336.5585,310.37,36.43509258,0.526667438
36883515,36883549,36883418,36883368,36883361,36883520,36883412,36883376,266.59,247.1021,267.6646,288.1646,298.9146,317.4146,337.4196,297.83,35.050709,0.484707128
36883422,36883549,36883520,36883389,36883376,36883515,36883368,36883359,263.27,243.5399,263.2899,284.7899,295.5399,313.2899,334.5449,284.61,34.09219804,0.417092068
36883515,36883402,36883418,36883368,36883359,36883520,36883398,36883389,266.62,247.1333,266.8833,287.1333,297.4208,316.3833,336.3833,303.76,36.19140734,0.480420786
36883378,36883510,36883543,36883412,36883376,36883520,36883368,36883361,263.92,245.9568,265.4568,285.7068,296.9568,313.9693,334.7118,287.08,33.67986176,0.430420669
36883378,36883402,36883418,36883398,36883376,36883520,36883412,36883368,269.19,250.8348,270.0848,290.6473,301.5848,320.5973,339.5848,311.73,36.59513361,0.531058143
36883520,36883549,36883506,36883389,36883361,36883378,36883398,36883357,266.33,248.6401,267.3901,286.7026,297.8901,316.6401,337.3901,302.52,36.41732255,0.470736896
36883520,36883510,36883418,36883368,36883359,36883402,36883389,36883376,265.51,246.0235,267.2735,287.0235,297.5235,315.7735,338.776,298.13,35.38886416,0.459751152
36883378,36883363,36883537,36883418,36883361,36883520,36883412,36883376,265.97,247.876,268.376,287.876,298.376,317.626,338.3835,287.3,33.07276536,0.461568546
36883378,36883363,36883537,36883368,36883361,36883520,36883389,36883376,266.29,248.1363,267.6363,288.1363,298.8863,316.6488,342.3888,286.15,33.60245008,0.476931935
36883378,36883402,36883506,36883418,36883357,36883520,36883389,36883376,268.08,250.922,270.172,289.422,299.422,316.672,337.927,308.44,36.65978516,0.503928228
36883515,36883549,36883543,36883418,36883361,36883378,36883520,36883376,267.17,248.911,269.161,290.161,300.9485,317.911,338.666,308.87,36.70779406,0.490807726
36883378,36883549,36883506,36883412,36883359,36883520,36883418,36883361,267.88,249.0444,270.7944,290.0444,301.2944,319.8444,341.7969,307.22,36.19849318,0.505655574
36883515,36883402,36883418,36883398,36883376,36883520,36883349,36883361,265.23,246.0774,265.1399,284.6399,295.1774,313.1524,333.1474,287.68,33.95717005,0.452849927
36883520,36883549,36883483,36883418,36883376,36883378,36883412,36883506,265.32,247.684,268.184,288.684,298.934,316.1965,336.9415,295.75,34.25151019,0.459491558
36883378,36883549,36883418,36883398,36883361,36883335,36883368,36883376,262.76,243.5151,264.3276,282.8276,293.0776,312.3276,331.3276,280.25,33.38805862,0.414739916
36883520,36883510,36883537,36883418,36883359,36883378,36883543,36883376,264.15,246.4503,266.4503,287.5128,298.7003,318.2003,337.9528,296.27,34.64430706,0.431906383
36883378,36883341,36883520,36883412,36883376,36883515,36883368,36883359,264.34,245.7255,265.7255,286.7255,296.2255,314.7255,332.728,269.41,29.56934223,0.439005157
36883520,36883429,36883506,36883368,36883357,36883378,36883412,36883376,263.34,246.607,264.857,284.857,295.357,311.107,331.862,274.59,30.15332733,0.420247985
36883335,36883510,36883520,36883412,36883398,36883378,36883418,36883376,265.32,247.1372,267.8872,286.6372,297.3872,315.6372,336.6372,290.07,33.05267828,0.454082204
36883520,36883363,36883537,36883389,36883376,36883378,36883418,36883359,266.03,247.3764,268.4389,288.1889,298.6889,319.1889,344.1914,294.08,34.30435888,0.464482204
36883378,36883363,36883537,36883506,36883361,36883520,36883418,36883376,265.99,247.8064,268.0564,287.5564,298.0564,317.3189,340.8089,298.52,34.94964495,0.467512658
36883515,36883402,36883520,36883349,36883359,36883378,36883398,36883376,264.97,246.335,265.6475,284.3975,294.8975,313.1475,336.65,283.31,33.52496507,0.448517619
