DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
35795912,Tanner Conner,TE,MIA,BUF,,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795879,Shane Buechele,QB,BUF,MIA,O,6000,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795880,Mitchell Trubisky,QB,BUF,MIA,,6000,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795911,Hayden Rucci,TE,MIA,BUF,,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795910,Darrynton Evans,RB,BUF,MIA,Q,200,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795920,Odell Beckham Jr.,WR,MIA,BUF,O,200,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795918,Zach Davidson,TE,BUF,MIA,,200,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795954,Deneric Prince,RB,MIA,BUF,,300,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795934,Tim Boyle,QB,MIA,BUF,,9000,,0,,0,0,0,0,0,100,26.0798,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35795955,Frank Gore Jr.,RB,BUF,MIA,,300,,0,,0,0,0,0,0,100,24.4786,50.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
